         48591972 function calls (47954037 primitive calls) in 579.909 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    40039    0.129    0.000    0.129    0.000 {method 'flatten' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.128    0.128 indexed.py:1(<module>)
    20002    0.118    0.000    0.126    0.000 trace_rules.py:2840(is_aten_op_or_tensor_method)
    20000    0.114    0.000    0.124    0.000 learner.py:120(target_model_update)
        1    0.000    0.000    0.123    0.123 writer.py:66(save_plots)
        1    0.000    0.000    0.123    0.123 figure.py:3234(savefig)
        1    0.000    0.000    0.123    0.123 backend_bases.py:2052(print_figure)
        1    0.000    0.000    0.123    0.123 backend_bases.py:2043(<lambda>)
        1    0.000    0.000    0.123    0.123 backend_agg.py:450(print_png)
        1    0.000    0.000    0.123    0.123 backend_agg.py:440(_print_pil)
        1    0.000    0.000    0.121    0.121 _diagnostic.py:1(<module>)
        1    0.000    0.000    0.120    0.120 ctx_fp.py:1(<module>)
        2    0.000    0.000    0.119    0.060 text.py:1(<module>)
      315    0.002    0.000    0.119    0.000 _parser.py:979(parse)
      265    0.000    0.000    0.118    0.000 dataclasses.py:1202(dataclass)
        3    0.000    0.000    0.117    0.039 Image.py:2481(save)
        1    0.000    0.000    0.117    0.117 ctx_base.py:1(<module>)
     1057    0.007    0.000    0.115    0.000 dataclasses.py:413(_create_fn)
  799/315    0.004    0.000    0.115    0.000 _parser.py:456(_parse_sub)
       10    0.000    0.000    0.115    0.012 linear.py:1(<module>)
     4384    0.025    0.000    0.115    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
 1245/326    0.042    0.000    0.113    0.000 _parser.py:516(_parse)
    40164    0.113    0.000    0.113    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.113    0.113 _axes.py:1(<module>)
        1    0.000    0.000    0.112    0.112 _infra.py:1(<module>)
     2299    0.015    0.000    0.112    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
     2062    0.040    0.000    0.111    0.000 _ops.py:800(__getattr__)
     1861    0.002    0.000    0.110    0.000 inspect.py:3278(signature)
        1    0.011    0.011    0.109    0.109 _meta_registrations.py:6186(activate_meta)
       83    0.000    0.000    0.109    0.001 <frozen importlib._bootstrap_external>:1231(create_module)
     1861    0.002    0.000    0.108    0.000 inspect.py:3024(from_callable)
       83    0.096    0.001    0.108    0.001 {built-in method _imp.create_dynamic}
    40230    0.107    0.000    0.107    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.107    0.053 __config__.py:1(<module>)
2311/1861    0.017    0.000    0.106    0.000 inspect.py:2428(_signature_from_callable)
   114169    0.094    0.000    0.106    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.105    0.105 formatter.py:1(<module>)
   298855    0.103    0.000    0.103    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.101    0.101 collections.py:1(<module>)
    60006    0.066    0.000    0.100    0.000 eval_frame.py:265(innermost_fn)
        1    0.000    0.000    0.099    0.099 backend_agg.py:381(draw)
    80702    0.099    0.000    0.099    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.098    0.098 artist.py:93(draw_wrapper)
    124/1    0.000    0.000    0.098    0.098 artist.py:54(draw_wrapper)
        1    0.000    0.000    0.098    0.098 figure.py:3134(draw)
      747    0.003    0.000    0.098    0.000 _pytree.py:903(tree_map_)
      2/1    0.000    0.000    0.097    0.097 image.py:114(_draw_list_compositing_images)
        1    0.000    0.000    0.097    0.097 _base.py:3005(draw)
    66768    0.061    0.000    0.097    0.000 inspect.py:943(<genexpr>)
    25005    0.081    0.000    0.097    0.000 std.py:153(__init__)
    60003    0.071    0.000    0.097    0.000 trace_rules.py:3279(<genexpr>)
        2    0.000    0.000    0.095    0.048 writer.py:102(save_video)
    40000    0.065    0.000    0.095    0.000 numeric.py:1380(<listcomp>)
    41421    0.068    0.000    0.095    0.000 rnn.py:804(get_expected_cell_size)
    40000    0.075    0.000    0.093    0.000 shape_base.py:600(<listcomp>)
    83/56    0.000    0.000    0.093    0.002 <frozen importlib._bootstrap_external>:1239(exec_module)
    83/56    0.022    0.000    0.092    0.002 {built-in method _imp.exec_dynamic}
   540172    0.092    0.000    0.092    0.000 {built-in method builtins.ord}
        2    0.000    0.000    0.092    0.046 axis.py:1379(draw)
    20028    0.075    0.000    0.091    0.000 _contextlib.py:149(__new__)
        1    0.000    0.000    0.090    0.090 partfrac.py:1(<module>)
        1    0.000    0.000    0.090    0.090 decorator.py:59(xthreaded)
        1    0.000    0.000    0.090    0.090 decorator.py:10(threaded_factory)
        9    0.001    0.000    0.090    0.010 core.py:1(<module>)
     2007    0.011    0.000    0.087    0.000 typing.py:1360(__init__)
      916    0.006    0.000    0.087    0.000 __init__.py:34(_add_op_to_registry)
     2553    0.001    0.000    0.087    0.000 utils.py:557(unwrap_if_wrapper)
        1    0.000    0.000    0.087    0.087 __init__.py:2306(__init__)
